actual_answer,student_answer,score,feedback
"Earth’s moon is called Luna.","Earth’s moon is called Titan.",0.2,"Incorrect name."
"Neptune is the farthest planet from the sun.","Pluto is the farthest planet from the sun.",0.4,"Pluto is not considered a planet."
"The boiling point of mercury is about 357 degrees Celsius.","The boiling point of mercury is about 400 degrees Celsius.",0.7,"Close but slightly off."
"The human brain has two hemispheres.","The human brain has three hemispheres.",0.2,"Incorrect number of hemispheres."
"The chemical symbol for silver is Ag.","The chemical symbol for silver is Si.",0.2,"Incorrect symbol."
"A triangle with three equal sides is called an equilateral triangle.","A triangle with three equal sides is called an isosceles triangle.",0.3,"Incorrect triangle type."
"The Earth’s gravity pulls objects toward its center.","The Earth’s gravity pushes objects away from its center.",0.0,"Incorrect force direction."
"The chemical symbol for oxygen is O.","The chemical symbol for oxygen is Ox.",0.3,"Incorrect symbol."
"An electron carries a negative charge.","An electron carries a positive charge.",0.0,"Incorrect charge."
"The moon completes one orbit around Earth in about 27 days.","The moon completes one orbit around Earth in about 30 days.",0.7,"Close but not exact."
"The heart is located in the left side of the chest.","The heart is located in the right side of the chest.",0.0,"Incorrect position."
"The capital of Egypt is Cairo.","The capital of Egypt is Alexandria.",0.5,"Incorrect city."
"Venus is known as the 'morning star.'","Venus is known as the 'evening star.'",0.7,"Partially correct; it's both."
"The boiling point of nitrogen is -196 degrees Celsius.","The boiling point of nitrogen is -180 degrees Celsius.",0.6,"Close but not exact."
"The chemical symbol for calcium is Ca.","The chemical symbol for calcium is Cl.",0.3,"Incorrect symbol."
"The process of water turning into vapor is called evaporation.","The process of water turning into vapor is called condensation.",0.0,"Incorrect term."
"The capital of Mexico is Mexico City.","The capital of Mexico is Guadalajara.",0.4,"Incorrect city."
"The Atlantic Ocean is larger than the Indian Ocean.","The Indian Ocean is larger than the Atlantic Ocean.",0.0,"Incorrect size comparison."
"The Great Pyramid of Giza is located in Egypt.","The Great Pyramid of Giza is located in Sudan.",0.3,"Incorrect country."
"The Amazon rainforest is the largest rainforest in the world.","The Congo rainforest is the largest rainforest in the world.",0.4,"Incorrect rainforest."
"Diamonds are made of carbon.","Diamonds are made of graphite.",0.7,"Partially correct; both are carbon allotropes."
"The human body has 206 bones.","The human body has 210 bones.",0.8,"Close but slightly overestimated."
"The speed of light is approximately 299,792 kilometers per second.","The speed of light is approximately 300,000 kilometers per second.",0.9,"Very close estimate."
"Water is made up of two hydrogen atoms and one oxygen atom.","Water is made up of one hydrogen atom and two oxygen atoms.",0.3,"Incorrect molecular structure."
"The capital of Japan is Tokyo.","The capital of Japan is Osaka.",0.5,"Incorrect city but in the correct country."
"Gold has an atomic number of 79.","Gold has an atomic number of 78.",0.9,"Very close but incorrect number."
"Photosynthesis requires sunlight, water, and carbon dioxide.","Photosynthesis requires sunlight, oxygen, and carbon dioxide.",0.7,"Partially correct; missing water."
"The freezing point of water is 0 degrees Celsius.","The freezing point of water is -1 degrees Celsius.",0.9,"Close but not exact."
"The human heart has four chambers.","The human heart has three chambers.",0.2,"Incorrect number of chambers."
"The primary ingredient in bread is flour.","The primary ingredient in bread is rice.",0.0,"Incorrect ingredient."
"Sharks have cartilage instead of bones.","Sharks have bones instead of cartilage.",0.0,"Incorrect composition."
"The Pacific Ocean is the largest ocean on Earth.","The Atlantic Ocean is the largest ocean on Earth.",0.0,"Incorrect ocean."
"The human brain weighs about 1.4 kg.","The human brain weighs about 2 kg.",0.6,"Overestimated weight."
"Mercury is the closest planet to the sun.","Venus is the closest planet to the sun.",0.2,"Incorrect planet."
"The Eiffel Tower is located in Paris.","The Eiffel Tower is located in Rome.",0.0,"Incorrect city."
"The Earth's atmosphere is made up mostly of nitrogen and oxygen.","The Earth's atmosphere is made up mostly of carbon dioxide and nitrogen.",0.5,"Partially correct; incorrect second gas."
"The process of cell division is called mitosis.","The process of cell division is called meiosis.",0.4,"Partially correct; different type of division."
"A square has four equal sides.","A square has four unequal sides.",0.0,"Incorrect definition."
"Saturn has rings made of ice and rock.","Saturn has rings made of gas.",0.2,"Incorrect material."
"The chemical symbol for iron is Fe.","The chemical symbol for iron is Ir.",0.3,"Incorrect symbol."
"The heart pumps blood through the circulatory system.","The heart pumps air through the circulatory system.",0.0,"Incorrect function."
"The sun rises in the east and sets in the west.","The sun rises in the west and sets in the east.",0.0,"Incorrect direction."
"Venus is the hottest planet in the solar system.","Mercury is the hottest planet in the solar system.",0.3,"Incorrect planet."
"The moon reflects light from the sun.","The moon generates its own light.",0.0,"Incorrect source of light."
"The Amazon River flows into the Atlantic Ocean.","The Amazon River flows into the Pacific Ocean.",0.0,"Incorrect ocean."
"The boiling point of water at sea level is 100°C.","The boiling point of water at sea level is 90°C.",0.8,"Close but incorrect."
"Electrons are negatively charged.","Electrons are positively charged.",0.0,"Incorrect charge."
"The largest mammal is the blue whale.","The largest mammal is the elephant.",0.2,"Incorrect animal."
"The Earth orbits the sun in about 365 days.","The Earth orbits the sun in about 400 days.",0.7,"Overestimated period."
"A triangle’s interior angles add up to 180 degrees.","A triangle’s interior angles add up to 200 degrees.",0.5,"Overestimated sum."
"The Statue of Liberty is located in New York.","The Statue of Liberty is located in Boston.",0.2,"Incorrect city."
"Light travels faster than sound.","Sound travels faster than light.",0.0,"Incorrect speed relationship."
"The periodic table lists elements by atomic number.","The periodic table lists elements by atomic weight.",0.6,"Partially correct."
"The mitochondria are the powerhouse of the cell.","The nucleus is the powerhouse of the cell.",0.0,"Incorrect organelle."
"Humans have 23 pairs of chromosomes.","Humans have 22 pairs of chromosomes.",0.9,"Close but underestimated."
"The Great Wall of China is visible from space.","The Great Wall of China is not visible from space.",0.7,"Common misconception."
"The capital of Canada is Ottawa.","The capital of Canada is Toronto.",0.4,"Incorrect city."
"The human body is about 60% water.","The human body is about 70% water.",0.8,"Close but overestimated."
"Light is a form of electromagnetic radiation.","Light is a form of mechanical wave.",0.0,"Incorrect classification."
"The speed of sound in air is approximately 343 meters per second.","The speed of sound in air is approximately 300 meters per second.",0.8,"Close but underestimated."
"Blood cells carry oxygen through the body.","Blood cells carry carbon dioxide through the body.",0.4,"Partially correct; wrong gas."
"The Great Barrier Reef is located off the coast of Australia.","The Great Barrier Reef is located off the coast of New Zealand.",0.2,"Incorrect country."
"Earth’s atmosphere contains about 21% oxygen.","Earth’s atmosphere contains about 30% oxygen.",0.7,"Overestimated percentage."
"The boiling point of alcohol is around 78°C.","The boiling point of alcohol is around 100°C.",0.5,"Overestimated temperature."
"The human heart has four valves.","The human heart has three valves.",0.7,"Close but underestimated."
"Water is a polar molecule.","Water is a non-polar molecule.",0.0,"Incorrect property."
"Aluminum has an atomic number of 13.","Aluminum has an atomic number of 14.",0.9,"Very close estimate."
"A hexagon has six sides.","A hexagon has five sides.",0.3,"Incorrect number of sides."
"The sun is a medium-sized star.","The sun is a small-sized star.",0.6,"Partially correct."
"Jupiter is the largest planet in the solar system.","Saturn is the largest planet in the solar system.",0.2,"Incorrect planet."
"The chemical symbol for potassium is K.","The chemical symbol for potassium is P.",0.3,"Incorrect symbol."
"The Earth’s gravity is weaker than the moon’s gravity.","The Earth’s gravity is stronger than the moon’s gravity.",0.0,"Incorrect comparison."
"Electrons are found in orbitals around the nucleus.","Electrons are found in the nucleus.",0.1,"Incorrect location."
"The capital of Russia is Moscow.","The capital of Russia is St. Petersburg.",0.5,"Incorrect city."
"Venus rotates in the opposite direction to most planets.","Venus rotates in the same direction as most planets.",0.0,"Incorrect rotation."
"The Amazon Rainforest produces 20% of the world’s oxygen.","The Amazon Rainforest produces 30% of the world’s oxygen.",0.7,"Overestimated percentage."
"DNA is composed of four bases: A, T, C, and G.","DNA is composed of four bases: A, T, C, and U.",0.8,"Close but incorrect base."
"The Earth’s inner core is solid.","The Earth’s inner core is liquid.",0.0,"Incorrect state."
"The capital of Italy is Rome.","The capital of Italy is Milan.",0.5,"Incorrect city."
"The chemical symbol for lead is Pb.","The chemical symbol for lead is Ld.",0.3,"Incorrect symbol."
"The sun's core temperature is about 15 million degrees Celsius.","The sun's core temperature is about 10 million degrees Celsius.",0.7,"Underestimated temperature."
"The Earth revolves around the Sun.","The Earth revolves around the Moon.",0.1,"Incorrect celestial body."
"Water boils at 100 degrees Celsius at sea level.","Water boils at 90 degrees Celsius at sea level.",0.4,"Incorrect temperature."
"A square has four equal sides.","A square has three equal sides.",0.0,"Incorrect shape properties."
"The capital of Canada is Ottawa.","The capital of Canada is Toronto.",0.5,"Incorrect city but in the correct country."
"The process by which plants make food is photosynthesis.","The process by which plants make food is respiration.",0.0,"Incorrect process."
"The Pacific Ocean is the largest ocean on Earth.","The Atlantic Ocean is the largest ocean on Earth.",0.3,"Incorrect ocean."
"A triangle has three sides.","A triangle has four sides.",0.0,"Incorrect number of sides."
"The freezing point of water is 0 degrees Celsius.","The freezing point of water is -1 degrees Celsius.",0.9,"Close but incorrect."
"Gravity pulls objects toward the Earth's center.","Gravity pushes objects away from the Earth's center.",0.0,"Incorrect understanding of gravity."
"The human body has 206 bones.","The human body has 208 bones.",0.9,"Close but incorrect count."
"Saturn is known for its rings.","Jupiter is known for its rings.",0.4,"Incorrect planet."
"The sun is a star.","The sun is a planet.",0.0,"Incorrect classification."
"A hexagon has six sides.","A hexagon has seven sides.",0.8,"Incorrect count but close."
"Albert Einstein developed the theory of relativity.","Isaac Newton developed the theory of relativity.",0.1,"Incorrect scientist."
"Oxygen is necessary for combustion.","Nitrogen is necessary for combustion.",0.0,"Incorrect gas."
"The Great Wall of China was built to protect against invasions.","The Great Wall of China was built for trade.",0.3,"Incorrect purpose."
"Venus is the second planet from the sun.","Mars is the second planet from the sun.",0.2,"Incorrect planet."
"The boiling point of water is 100 degrees Celsius.","The boiling point of water is 98 degrees Celsius.",0.9,"Close but not exact."
"The heart pumps blood through the body.","The lungs pump blood through the body.",0.0,"Incorrect organ."
"An adult human has 32 teeth.","An adult human has 30 teeth.",0.7,"Close but incorrect count."
"Gold's chemical symbol is Au.","Gold's chemical symbol is Ag.",0.2,"Incorrect symbol."
"The Amazon is the largest rainforest in the world.","The Congo is the largest rainforest in the world.",0.4,"Incorrect rainforest."
"The moon orbits the Earth.","The moon orbits the Sun.",0.0,"Incorrect orbit."
"The speed of light is approximately 300,000 km/s.","The speed of light is approximately 350,000 km/s.",0.8,"Close but not exact."
"Mercury is the smallest planet in the solar system.","Pluto is the smallest planet in the solar system.",0.2,"Pluto is not classified as a planet."
"DNA stands for Deoxyribonucleic Acid.","DNA stands for Dioxyribonucleic Acid.",0.8,"Close spelling but incorrect."
"The capital of Germany is Berlin.","The capital of Germany is Munich.",0.5,"Incorrect city."
"The mitochondria are the powerhouse of the cell.","The nucleus is the powerhouse of the cell.",0.0,"Incorrect organelle."
"Sharks are classified as fish.","Sharks are classified as mammals.",0.0,"Incorrect classification."
"The Atlantic Ocean is saltwater.","The Atlantic Ocean is freshwater.",0.0,"Incorrect type of water."
"A prism separates light into a spectrum of colors.","A prism combines light into a single color.",0.0,"Incorrect function."
"Jupiter is the largest planet in the solar system.","Saturn is the largest planet in the solar system.",0.3,"Incorrect planet."
"The Eiffel Tower is located in Paris.","The Eiffel Tower is located in Rome.",0.0,"Incorrect city."
"The process of cell division is called mitosis.","The process of cell division is called meiosis.",0.5,"Incorrect process but related."
"Helium has two protons.","Helium has one proton.",0.4,"Incorrect atomic number."
"The Amazon River is the second longest river in the world.","The Amazon River is the longest river in the world.",0.8,"Close but not exact."
"Light travels faster than sound.","Sound travels faster than light.",0.0,"Incorrect comparison."
"Electricity flows through conductors.","Electricity flows through insulators.",0.0,"Incorrect material."
"The human body is approximately 60% water.","The human body is approximately 70% water.",0.8,"Close but not exact."
"The moon reflects light from the sun.","The moon generates its own light.",0.0,"Incorrect understanding of moonlight."
"Venus is the hottest planet in the solar system.","Mercury is the hottest planet in the solar system.",0.4,"Incorrect planet."
"An isosceles triangle has two equal sides.","An isosceles triangle has three equal sides.",0.3,"Incorrect triangle type."
"The heart is located slightly to the left of the chest.","The heart is located slightly to the right of the chest.",0.0,"Incorrect position."
"Sound cannot travel through a vacuum.","Sound can travel through a vacuum.",0.0,"Incorrect understanding of sound."
"The Earth's atmosphere is mostly nitrogen.","The Earth's atmosphere is mostly oxygen.",0.3,"Incorrect gas."
"The Great Pyramid of Giza is in Egypt.","The Great Pyramid of Giza is in Sudan.",0.0,"Incorrect country."
"Cells are the basic unit of life.","Tissues are the basic unit of life.",0.0,"Incorrect biological unit."
"Water is made up of two hydrogen atoms and one oxygen atom.","Water is made up of one hydrogen atom and two oxygen atoms.",0.0,"Incorrect chemical composition."
"Pluto was reclassified as a dwarf planet.","Pluto was reclassified as a moon.",0.2,"Incorrect classification."
"Saturn has the most visible rings.","Jupiter has the most visible rings.",0.2,"Incorrect planet."
"The chemical symbol for silver is Ag.","The chemical symbol for silver is Au.",0.2,"Incorrect symbol."
"Blood carries oxygen to the body’s cells.","Blood carries nitrogen to the body’s cells.",0.0,"Incorrect gas."
"The smallest unit of life is the cell.","The smallest unit of life is the atom.",0.0,"Incorrect biological unit."
"The brain controls the nervous system.","The heart controls the nervous system.",0.0,"Incorrect organ."
"Neptune is the farthest planet from the sun.","Uranus is the farthest planet from the sun.",0.4,"Incorrect planet."
"Einstein proposed the theory of general relativity.","Newton proposed the theory of general relativity.",0.2,"Incorrect scientist."
"A person with type O blood can donate to anyone.","A person with type AB blood can donate to anyone.",0.2,"Incorrect blood type."
"The sun is mostly composed of hydrogen and helium.","The sun is mostly composed of oxygen and helium.",0.4,"Incorrect element."
"The Earth rotates on its axis once every 24 hours.","The Earth rotates on its axis once every 30 hours.",0.2,"Incorrect duration."
"Diamonds are made of carbon.","Diamonds are made of silicon.",0.0,"Incorrect element."
"The lungs absorb oxygen and release carbon dioxide.","The lungs absorb carbon dioxide and release oxygen.",0.0,"Incorrect function."
"The Milky Way is a spiral galaxy.","The Milky Way is an elliptical galaxy.",0.3,"Incorrect galaxy type."
"The boiling point of gold is approximately 2,700 degrees Celsius.","The boiling point of gold is approximately 3,000 degrees Celsius.",0.7,"Close but incorrect."
"The chemical symbol for iron is Fe.","The chemical symbol for iron is Ir.",0.2,"Incorrect symbol."
"An atom consists of protons, neutrons, and electrons.","An atom consists of protons, neutrons, and ions.",0.3,"Incorrect particle."
"The periodic table was developed by Dmitri Mendeleev.","The periodic table was developed by Albert Einstein.",0.2,"Incorrect scientist."
"Water is composed of hydrogen and oxygen.","Water is composed of hydrogen and nitrogen.",0.2,"Incorrect element."
"The sun is approximately 93 million miles from Earth.","The sun is approximately 100 million miles from Earth.",0.8,"Close but not exact."
"The capital of France is Paris.","The capital of France is Lyon.",0.5,"Incorrect city but in the correct country."
"An octopus has eight tentacles.","An octopus has six tentacles.",0.6,"Close but incorrect count."
"The human heart has four chambers.","The human heart has three chambers.",0.7,"Incorrect count but close."
"Plants use chlorophyll to photosynthesize.","Plants use hemoglobin to photosynthesize.",0.0,"Incorrect substance."
"The speed of sound is about 343 m/s in air.","The speed of sound is about 300 m/s in air.",0.7,"Close but not exact."
"Mount Everest is the tallest mountain on Earth.","Mount Kilimanjaro is the tallest mountain on Earth.",0.3,"Incorrect mountain."
"Leonardo da Vinci painted the Mona Lisa.","Michelangelo painted the Mona Lisa.",0.2,"Incorrect artist."
"Penguins are birds that cannot fly.","Penguins are mammals that cannot fly.",0.3,"Incorrect classification."
"The chemical formula for table salt is NaCl.","The chemical formula for table salt is KCl.",0.4,"Incorrect element."
"The Earth's atmosphere is mostly nitrogen.","The Earth's atmosphere is mostly oxygen.",0.3,"Incorrect gas."
"The capital of Japan is Tokyo.","The capital of Japan is Kyoto.",0.6,"Incorrect city but close."
"The Great Wall of China is over 13,000 miles long.","The Great Wall of China is over 10,000 miles long.",0.8,"Close but incorrect length."
"A rainbow has seven colors.","A rainbow has six colors.",0.7,"Incorrect count but close."
"The boiling point of water is 100°C at sea level.","The boiling point of water is 95°C at sea level.",0.9,"Close but incorrect."
"Bees collect nectar to make honey.","Bees collect pollen to make honey.",0.4,"Incorrect substance."
"A human has 46 chromosomes.","A human has 44 chromosomes.",0.8,"Close but incorrect count."
"The capital of Italy is Rome.","The capital of Italy is Milan.",0.5,"Incorrect city."
"Sound travels faster in water than in air.","Sound travels faster in air than in water.",0.0,"Incorrect comparison."
"The Amazon Rainforest is located in South America.","The Amazon Rainforest is located in Africa.",0.0,"Incorrect continent."
"The Statue of Liberty was a gift from France.","The Statue of Liberty was a gift from England.",0.0,"Incorrect country."
"The chemical symbol for potassium is K.","The chemical symbol for potassium is P.",0.3,"Incorrect symbol."
"Venus is the hottest planet in the solar system.","Mercury is the hottest planet in the solar system.",0.4,"Incorrect planet."
"The atomic number of carbon is 6.","The atomic number of carbon is 7.",0.8,"Close but incorrect."
"DNA is found in the cell nucleus.","DNA is found in the cell membrane.",0.0,"Incorrect location."
"The moon's gravitational pull causes tides on Earth.","The sun's gravitational pull causes tides on Earth.",0.4,"Partially correct."
"The capital of Australia is Canberra.","The capital of Australia is Sydney.",0.5,"Incorrect city."
"The human brain has two hemispheres.","The human brain has three hemispheres.",0.2,"Incorrect count."
"The Nile is the longest river in the world.","The Amazon is the longest river in the world.",0.3,"Incorrect river."
"A hexagon has six sides.","A hexagon has five sides.",0.7,"Close but incorrect."
"The element with the atomic number 1 is hydrogen.","The element with the atomic number 1 is helium.",0.3,"Incorrect element."
"The Earth rotates on its axis once every 24 hours.","The Earth rotates on its axis once every 25 hours.",0.8,"Close but incorrect."
"The largest organ in the human body is the skin.","The largest organ in the human body is the liver.",0.3,"Incorrect organ."
"A light-year is the distance light travels in one year.","A light-year is the time it takes for light to travel in one year.",0.4,"Incorrect definition."
"The chemical symbol for iron is Fe.","The chemical symbol for iron is Ir.",0.2,"Incorrect symbol."
"The largest planet in the solar system is Jupiter.","The largest planet in the solar system is Saturn.",0.4,"Incorrect planet."
"The freezing point of water is 0°C.","The freezing point of water is -1°C.",0.9,"Close but incorrect."
"The capital of the United States is Washington, D.C.","The capital of the United States is New York.",0.0,"Incorrect city."
"The human body is made up of about 60% water.","The human body is made up of about 70% water.",0.8,"Close but not exact."
"The currency of Japan is the yen.","The currency of Japan is the won.",0.3,"Incorrect currency."
"A spider has eight legs.","A spider has six legs.",0.6,"Incorrect count."
"The Eiffel Tower is located in Paris.","The Eiffel Tower is located in London.",0.0,"Incorrect city."
"Birds have hollow bones to help them fly.","Birds have solid bones to help them fly.",0.0,"Incorrect bone structure."
"Electrons have a negative charge.","Electrons have a positive charge.",0.0,"Incorrect charge."
"Plants produce oxygen through photosynthesis.","Plants produce carbon dioxide through photosynthesis.",0.0,"Incorrect gas."
"An atom's nucleus contains protons and neutrons.","An atom's nucleus contains electrons and protons.",0.4,"Incorrect particle."
"The Earth's core is made of iron and nickel.","The Earth's core is made of lead and nickel.",0.4,"Incorrect element."
"The human body has 206 bones.","The human body has 208 bones.",0.9,"Close but incorrect."
"Diamonds are made of carbon.","Diamonds are made of silicon.",0.0,"Incorrect element."
"The Amazon River is the second longest river in the world.","The Amazon River is the longest river in the world.",0.8,"Close but incorrect."
"Mercury is the closest planet to the sun.","Venus is the closest planet to the sun.",0.4,"Incorrect planet."
"Sharks are classified as fish.","Sharks are classified as mammals.",0.0,"Incorrect classification."
"The brain controls the nervous system.","The heart controls the nervous system.",0.0,"Incorrect organ."
"Earth is the third planet from the sun.","Earth is the fourth planet from the sun.",0.2,"Incorrect position."
"The heart pumps blood through the body.","The lungs pump blood through the body.",0.0,"Incorrect organ."
"The Sahara is the largest hot desert in the world.","The Gobi is the largest hot desert in the world.",0.3,"Incorrect desert."
"The atomic number of oxygen is 8.","The atomic number of oxygen is 7.",0.8,"Close but incorrect."
"The sun is a star.","The sun is a planet.",0.0,"Incorrect classification."
"The capital of Brazil is Brasília.","The capital of Brazil is Rio de Janeiro.",0.5,"Incorrect city."
"The Pacific Ocean is the largest ocean on Earth.","The Atlantic Ocean is the largest ocean on Earth.",0.3,"Incorrect ocean."
"The human heart beats about 60 to 100 times per minute.","The human heart beats about 40 to 60 times per minute.",0.5,"Incorrect range."
"Salt is composed of sodium and chlorine.","Salt is composed of sodium and carbon.",0.2,"Incorrect element."
"The element with the symbol 'O' is oxygen.","The element with the symbol 'O' is gold.",0.0,"Incorrect element."
"The Great Barrier Reef is located off the coast of Australia.","The Great Barrier Reef is located off the coast of New Zealand.",0.3,"Incorrect location."
"The human body temperature is about 37°C.","The human body temperature is about 35°C.",0.8,"Close but incorrect."
"The capital of South Africa is Pretoria.","The capital of South Africa is Cape Town.",0.6,"Partially correct."
"The largest continent by land area is Asia.","The largest continent by land area is Africa.",0.3,"Incorrect continent."
"The pH of pure water is 7.","The pH of pure water is 8.",0.8,"Slightly incorrect value."
"Carbon dioxide has the chemical formula CO2.","Carbon dioxide has the chemical formula CO3.",0.2,"Incorrect chemical formula."
"Saturn has 82 known moons.","Saturn has 80 known moons.",0.9,"Very close but not exact."
"An adult human has 32 teeth.","An adult human has 30 teeth.",0.8,"Slight underestimation."
"The Statue of Liberty is located in New York.","The Statue of Liberty is located in Washington D.C.",0.0,"Incorrect location."
"The freezing point of water is 0°C.","The freezing point of water is -1°C.",0.9,"Very close but incorrect."
"Mercury is the closest planet to the sun.","Venus is the closest planet to the sun.",0.2,"Incorrect planet."
"The Great Barrier Reef is located in Australia.","The Great Barrier Reef is located in New Zealand.",0.2,"Incorrect location."
"The capital of Japan is Tokyo.","The capital of Japan is Kyoto.",0.5,"Incorrect city."
"The largest country by land area is Russia.","The largest country by land area is Canada.",0.3,"Incorrect country."
"Light takes approximately 8 minutes to reach Earth from the Sun.","Light takes approximately 10 minutes to reach Earth from the Sun.",0.8,"Close but not exact."
"The chemical symbol for potassium is K.","The chemical symbol for potassium is P.",0.2,"Incorrect symbol."
"The element with the symbol 'O' is oxygen.","The element with the symbol 'O' is gold.",0.0,"Incorrect element."
"The Earth’s atmosphere is about 78% nitrogen.","The Earth’s atmosphere is about 80% nitrogen.",0.9,"Very close but not exact."
"The Amazon River flows through Brazil.","The Amazon River flows through Argentina.",0.3,"Incorrect country."
"The largest planet in the solar system is Jupiter.","The largest planet in the solar system is Saturn.",0.5,"Incorrect planet."
"The square root of 64 is 8.","The square root of 64 is 6.",0.0,"Incorrect calculation."
"The chemical symbol for iron is Fe.","The chemical symbol for iron is F.",0.3,"Incorrect symbol."
"The Atlantic Ocean separates North America and Europe.","The Atlantic Ocean separates North America and Asia.",0.3,"Incorrect continents."
"The capital of France is Paris.","The capital of France is Marseille.",0.5,"Incorrect city."
"The atomic number of oxygen is 8.","The atomic number of oxygen is 9.",0.8,"Close but incorrect."
"The Mona Lisa was painted by Leonardo da Vinci.","The Mona Lisa was painted by Michelangelo.",0.0,"Incorrect artist."
"The primary gas in Earth's atmosphere is nitrogen.","The primary gas in Earth's atmosphere is oxygen.",0.3,"Incorrect gas."
"Albert Einstein developed the theory of relativity.","Albert Einstein developed the theory of gravity.",0.0,"Incorrect theory."
"The moon is about 384,400 km from Earth.","The moon is about 400,000 km from Earth.",0.8,"Slight overestimation."
"Humans have 23 pairs of chromosomes.","Humans have 22 pairs of chromosomes.",0.8,"Close but incorrect."
"The Great Pyramid of Giza is located in Egypt.","The Great Pyramid of Giza is located in Sudan.",0.2,"Incorrect location."
"The chemical symbol for carbon is C.","The chemical symbol for carbon is Ca.",0.5,"Incorrect symbol."
"The speed of sound in air is approximately 343 m/s.","The speed of sound in air is approximately 350 m/s.",0.9,"Very close but incorrect."
"The capital of Australia is Canberra.","The capital of Australia is Sydney.",0.5,"Incorrect city."
"Plants take in carbon dioxide and release oxygen.","Plants take in oxygen and release carbon dioxide.",0.0,"Incorrect process."
"The square root of 144 is 12.","The square root of 144 is 14.",0.0,"Incorrect calculation."
"The planet closest to Earth is Venus.","The planet closest to Earth is Mars.",0.5,"Incorrect planet."
"The largest animal on Earth is the blue whale.","The largest animal on Earth is the elephant.",0.0,"Incorrect animal."
"The sun is a star.","The sun is a planet.",0.0,"Incorrect classification."
"The largest desert in the world is the Antarctic Desert.","The largest desert in the world is the Sahara Desert.",0.3,"Incorrect desert."
"The longest river in the world is the Nile.","The longest river in the world is the Amazon.",0.5,"Incorrect river."
"The boiling point of nitrogen is -195.79°C.","The boiling point of nitrogen is -200°C.",0.9,"Very close but incorrect."
"The human heart has four chambers.","The human heart has three chambers.",0.5,"Incorrect count."
"Mercury is the smallest planet in the solar system.","Mercury is the second smallest planet in the solar system.",0.8,"Close but incorrect."
"The chemical symbol for silver is Ag.","The chemical symbol for silver is Si.",0.2,"Incorrect symbol."
"The human skeleton has 206 bones.","The human skeleton has 210 bones.",0.9,"Very close but not exact."
"The capital of India is New Delhi.","The capital of India is Mumbai.",0.5,"Incorrect city."
"The atomic number of gold is 79.","The atomic number of gold is 78.",0.8,"Close but incorrect."
"The Eiffel Tower is located in Paris.","The Eiffel Tower is located in Lyon.",0.2,"Incorrect city."
"The atomic number of carbon is 6.","The atomic number of carbon is 7.",0.8,"Close but incorrect."
"Water is composed of hydrogen and oxygen.","Water is composed of hydrogen and nitrogen.",0.2,"Incorrect element."
"The deepest lake in the world is Lake Baikal.","The deepest lake in the world is Lake Tanganyika.",0.3,"Incorrect lake."
"Diamonds are made of carbon.","Diamonds are made of quartz.",0.0,"Incorrect material."
"The speed of light is approximately 299,792 km/s.","The speed of light is approximately 300,000 km/s.",0.9,"Very close but incorrect."
"The chemical symbol for lead is Pb.","The chemical symbol for lead is Ld.",0.2,"Incorrect symbol."
"The Earth's core is primarily composed of iron and nickel.","The Earth's core is primarily composed of aluminum and nickel.",0.2,"Incorrect element."
"The largest country by population is China.","The largest country by population is India.",0.8,"Almost correct."
"The first element in the periodic table is hydrogen.","The first element in the periodic table is helium.",0.2,"Incorrect element."
"The capital of South Korea is Seoul.","The capital of South Korea is Busan.",0.5,"Incorrect city."
"The freezing point of ethanol is -114°C.","The freezing point of ethanol is -120°C.",0.9,"Very close but incorrect."
"The capital of the United Kingdom is London.","The capital of the United Kingdom is Manchester.",0.3,"Incorrect city."
"The Pacific Ocean is the largest ocean on Earth.","The Atlantic Ocean is the largest ocean on Earth.",0.0,"Incorrect ocean."
"The atomic number of neon is 10.","The atomic number of neon is 9.",0.8,"Close but incorrect."
"The periodic table has 118 elements.","The periodic table has 120 elements.",0.9,"Very close but incorrect."
"Venus is the hottest planet in the solar system.","Mercury is the hottest planet in the solar system.",0.3,"Incorrect planet."
"The atomic number of helium is 2.","The atomic number of helium is 3.",0.8,"Close but incorrect."
"The chemical symbol for oxygen is O.","The chemical symbol for oxygen is Ox.",0.5,"Incorrect symbol."
"The moon's gravity is about 1/6th that of Earth's.","The moon's gravity is about 1/5th that of Earth's.",0.9,"Very close but not exact."
"The capital of Italy is Rome.","The capital of Italy is Milan.",0.5,"Incorrect city."
"The atomic number of hydrogen is 1.","The atomic number of hydrogen is 2.",0.5,"Incorrect number."
"The capital of Brazil is Brasília.","The capital of Brazil is Rio de Janeiro.",0.5,"Incorrect city."
"The Great Wall of China is over 13,000 miles long.","The Great Wall of China is 10,000 miles long.",0.8,"Slight underestimation."
"Water boils at 100°C at sea level.","Water boils at 90°C at sea level.",0.7,"Incorrect boiling point."
"The capital of Spain is Madrid.","The capital of Spain is Barcelona.",0.5,"Incorrect city."
"Pluto was reclassified as a dwarf planet in 2006.","Pluto was reclassified as a dwarf planet in 2010.",0.7,"Incorrect year."
"Shakespeare wrote 'Romeo and Juliet'.","Shakespeare wrote 'Hamlet'.",0.5,"Incorrect work."
"The primary language spoken in Brazil is Portuguese.","The primary language spoken in Brazil is Spanish.",0.2,"Incorrect language."
"Mount Everest is the tallest mountain on Earth.","K2 is the tallest mountain on Earth.",0.0,"Incorrect mountain."
"The periodic table was created by Dmitri Mendeleev.","The periodic table was created by Niels Bohr.",0.0,"Incorrect scientist."
