question,actual_answer,student_answer,score,feedback
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The ...,0.6,Partially correct
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c.,0.34,Incorrect
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,1.0,Correct
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,0.86,Meaning correct but structure different
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's ...,0.51,Partially correct
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that objects stay still unless pushed.,0.04,Incorrect
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter are solid, liquid, and gas.",1.0,Correct
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter were solid, liquid, and gas.",0.78,Meaning correct but structure different
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.",The ...,0.64,Partially correct
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter are solid, liquid, and plasma.",0.32,Incorrect
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria is known as the powerhouse of the cell.,1.0,Correct
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria was known as the powerhouse of the cell.,0.83,Meaning correct but structure different
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The ...,0.45,Partially correct
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria is the brain of the cell.,0.32,Incorrect
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lisa was painted by Leonardo da Vinci.,1.0,Correct
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lwasa was painted by Leonardo da Vinci.,0.71,Meaning correct but structure different
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The ...,0.62,Partially correct
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lisa was painted by Pablo Picasso.,0.39,Incorrect
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,1.0,Correct
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,0.88,Meaning correct but structure different
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply ...,0.47,Partially correct
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how companies control markets.,0.14,Incorrect
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was developed by Albert Einstein.,1.0,Correct
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was developed by Albert Einstein.,0.76,Meaning correct but structure different
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The ...,0.65,Partially correct
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was discovered by Isaac Newton.,0.37,Incorrect
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan is the yen.,1.0,Correct
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan was the yen.,0.76,Meaning correct but structure different
What is the currency of Japan?,The currency of Japan is the yen.,The ...,0.68,Partially correct
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan is the won.,0.19,Incorrect
What is the capital of France?,The capital of France is Paris.,The capital of France is Paris.,1.0,Correct
What is the capital of France?,The capital of France is Paris.,The capital of France was Parwas.,0.74,Meaning correct but structure different
What is the capital of France?,The capital of France is Paris.,The ...,0.67,Partially correct
What is the capital of France?,The capital of France is Paris.,The capital of France is Berlin.,0.09,Incorrect
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac Newton discovered gravity.,1.0,Correct
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac Newton dwascovered gravity.,0.76,Meaning correct but structure different
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac ...,0.67,Partially correct
Who discovered gravity?,Isaac Newton discovered gravity.,Galileo discovered gravity.,0.16,Incorrect
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis is the process where plants use sunlight to make food.,1.0,Correct
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosyntheswas was the process where plants use sunlight to make food.,0.72,Meaning correct but structure different
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis ...,0.49,Partially correct
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis is how animals make food.,0.26,Incorrect
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The boiling point of water is 100°C at sea level.,1.0,Correct
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The boiling point of water was 100°C at sea level.,0.81,Meaning correct but structure different
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The ...,0.42,Partially correct
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,Water boils at 90°C.,0.35,Incorrect
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by William Shakespeare.,1.0,Correct
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by William Shakespewere.,0.85,Meaning correct but structure different
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo ...,0.45,Partially correct
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by Charles Dickens.,0.23,Incorrect
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter is the largest planet in our solar system.,1.0,Correct
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter was the largest planet in our solar system.,0.88,Meaning correct but structure different
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter ...,0.49,Partially correct
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Saturn is the largest planet.,0.3,Incorrect
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor converts electrical energy into mechanical energy.,1.0,Correct
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor converts electrical energy into mechanical energy.,0.9,Meaning correct but structure different
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An ...,0.41,Partially correct
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor generates electrical energy from mechanical energy.,0.31,Incorrect
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c².,1.0,Correct
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c².,0.75,Meaning correct but structure different
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The ...,0.6,Partially correct
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c.,0.17,Incorrect
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,1.0,Correct
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,0.86,Meaning correct but structure different
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's ...,0.59,Partially correct
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that objects stay still unless pushed.,0.28,Incorrect
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter are solid, liquid, and gas.",1.0,Correct
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter were solid, liquid, and gas.",0.86,Meaning correct but structure different
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.",The ...,0.63,Partially correct
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter are solid, liquid, and plasma.",0.0,Incorrect
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria is known as the powerhouse of the cell.,1.0,Correct
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria was known as the powerhouse of the cell.,0.85,Meaning correct but structure different
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The ...,0.56,Partially correct
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria is the brain of the cell.,0.04,Incorrect
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lisa was painted by Leonardo da Vinci.,1.0,Correct
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lwasa was painted by Leonardo da Vinci.,0.83,Meaning correct but structure different
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The ...,0.53,Partially correct
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lisa was painted by Pablo Picasso.,0.02,Incorrect
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,1.0,Correct
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,0.85,Meaning correct but structure different
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply ...,0.68,Partially correct
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how companies control markets.,0.02,Incorrect
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was developed by Albert Einstein.,1.0,Correct
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was developed by Albert Einstein.,0.7,Meaning correct but structure different
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The ...,0.59,Partially correct
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was discovered by Isaac Newton.,0.1,Incorrect
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan is the yen.,1.0,Correct
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan was the yen.,0.84,Meaning correct but structure different
What is the currency of Japan?,The currency of Japan is the yen.,The ...,0.68,Partially correct
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan is the won.,0.25,Incorrect
What is the capital of France?,The capital of France is Paris.,The capital of France is Paris.,1.0,Correct
What is the capital of France?,The capital of France is Paris.,The capital of France was Parwas.,0.76,Meaning correct but structure different
What is the capital of France?,The capital of France is Paris.,The ...,0.51,Partially correct
What is the capital of France?,The capital of France is Paris.,The capital of France is Berlin.,0.13,Incorrect
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac Newton discovered gravity.,1.0,Correct
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac Newton dwascovered gravity.,0.72,Meaning correct but structure different
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac ...,0.54,Partially correct
Who discovered gravity?,Isaac Newton discovered gravity.,Galileo discovered gravity.,0.26,Incorrect
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis is the process where plants use sunlight to make food.,1.0,Correct
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosyntheswas was the process where plants use sunlight to make food.,0.89,Meaning correct but structure different
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis ...,0.63,Partially correct
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis is how animals make food.,0.14,Incorrect
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The boiling point of water is 100°C at sea level.,1.0,Correct
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The boiling point of water was 100°C at sea level.,0.74,Meaning correct but structure different
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The ...,0.57,Partially correct
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,Water boils at 90°C.,0.35,Incorrect
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by William Shakespeare.,1.0,Correct
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by William Shakespewere.,0.82,Meaning correct but structure different
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo ...,0.45,Partially correct
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by Charles Dickens.,0.16,Incorrect
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter is the largest planet in our solar system.,1.0,Correct
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter was the largest planet in our solar system.,0.89,Meaning correct but structure different
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter ...,0.64,Partially correct
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Saturn is the largest planet.,0.19,Incorrect
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor converts electrical energy into mechanical energy.,1.0,Correct
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor converts electrical energy into mechanical energy.,0.75,Meaning correct but structure different
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An ...,0.45,Partially correct
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor generates electrical energy from mechanical energy.,0.16,Incorrect
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c².,1.0,Correct
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c².,0.81,Meaning correct but structure different
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The ...,0.63,Partially correct
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c.,0.19,Incorrect
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,1.0,Correct
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,0.72,Meaning correct but structure different
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's ...,0.58,Partially correct
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that objects stay still unless pushed.,0.13,Incorrect
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter are solid, liquid, and gas.",1.0,Correct
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter were solid, liquid, and gas.",0.79,Meaning correct but structure different
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.",The ...,0.64,Partially correct
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter are solid, liquid, and plasma.",0.14,Incorrect
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria is known as the powerhouse of the cell.,1.0,Correct
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria was known as the powerhouse of the cell.,0.8,Meaning correct but structure different
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The ...,0.41,Partially correct
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria is the brain of the cell.,0.25,Incorrect
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lisa was painted by Leonardo da Vinci.,1.0,Correct
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lwasa was painted by Leonardo da Vinci.,0.77,Meaning correct but structure different
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The ...,0.49,Partially correct
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lisa was painted by Pablo Picasso.,0.26,Incorrect
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,1.0,Correct
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,0.84,Meaning correct but structure different
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply ...,0.51,Partially correct
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how companies control markets.,0.18,Incorrect
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was developed by Albert Einstein.,1.0,Correct
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was developed by Albert Einstein.,0.75,Meaning correct but structure different
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The ...,0.51,Partially correct
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was discovered by Isaac Newton.,0.19,Incorrect
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan is the yen.,1.0,Correct
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan was the yen.,0.8,Meaning correct but structure different
What is the currency of Japan?,The currency of Japan is the yen.,The ...,0.61,Partially correct
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan is the won.,0.22,Incorrect
What is the capital of France?,The capital of France is Paris.,The capital of France is Paris.,1.0,Correct
What is the capital of France?,The capital of France is Paris.,The capital of France was Parwas.,0.72,Meaning correct but structure different
What is the capital of France?,The capital of France is Paris.,The ...,0.43,Partially correct
What is the capital of France?,The capital of France is Paris.,The capital of France is Berlin.,0.34,Incorrect
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac Newton discovered gravity.,1.0,Correct
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac Newton dwascovered gravity.,0.83,Meaning correct but structure different
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac ...,0.7,Partially correct
Who discovered gravity?,Isaac Newton discovered gravity.,Galileo discovered gravity.,0.17,Incorrect
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis is the process where plants use sunlight to make food.,1.0,Correct
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosyntheswas was the process where plants use sunlight to make food.,0.77,Meaning correct but structure different
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis ...,0.65,Partially correct
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis is how animals make food.,0.35,Incorrect
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The boiling point of water is 100°C at sea level.,1.0,Correct
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The boiling point of water was 100°C at sea level.,0.72,Meaning correct but structure different
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The ...,0.5,Partially correct
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,Water boils at 90°C.,0.08,Incorrect
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by William Shakespeare.,1.0,Correct
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by William Shakespewere.,0.89,Meaning correct but structure different
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo ...,0.6,Partially correct
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by Charles Dickens.,0.08,Incorrect
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter is the largest planet in our solar system.,1.0,Correct
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter was the largest planet in our solar system.,0.84,Meaning correct but structure different
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter ...,0.67,Partially correct
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Saturn is the largest planet.,0.38,Incorrect
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor converts electrical energy into mechanical energy.,1.0,Correct
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor converts electrical energy into mechanical energy.,0.71,Meaning correct but structure different
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An ...,0.58,Partially correct
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor generates electrical energy from mechanical energy.,0.37,Incorrect
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c².,1.0,Correct
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c².,0.72,Meaning correct but structure different
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The ...,0.55,Partially correct
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c.,0.35,Incorrect
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,1.0,Correct
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,0.71,Meaning correct but structure different
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's ...,0.5,Partially correct
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that objects stay still unless pushed.,0.01,Incorrect
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter are solid, liquid, and gas.",1.0,Correct
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter were solid, liquid, and gas.",0.82,Meaning correct but structure different
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.",The ...,0.64,Partially correct
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter are solid, liquid, and plasma.",0.15,Incorrect
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria is known as the powerhouse of the cell.,1.0,Correct
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria was known as the powerhouse of the cell.,0.72,Meaning correct but structure different
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The ...,0.43,Partially correct
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria is the brain of the cell.,0.08,Incorrect
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lisa was painted by Leonardo da Vinci.,1.0,Correct
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lwasa was painted by Leonardo da Vinci.,0.7,Meaning correct but structure different
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The ...,0.64,Partially correct
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lisa was painted by Pablo Picasso.,0.21,Incorrect
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,1.0,Correct
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,0.7,Meaning correct but structure different
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply ...,0.63,Partially correct
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how companies control markets.,0.35,Incorrect
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was developed by Albert Einstein.,1.0,Correct
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was developed by Albert Einstein.,0.82,Meaning correct but structure different
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The ...,0.51,Partially correct
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was discovered by Isaac Newton.,0.01,Incorrect
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan is the yen.,1.0,Correct
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan was the yen.,0.73,Meaning correct but structure different
What is the currency of Japan?,The currency of Japan is the yen.,The ...,0.4,Partially correct
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan is the won.,0.3,Incorrect
What is the capital of France?,The capital of France is Paris.,The capital of France is Paris.,1.0,Correct
What is the capital of France?,The capital of France is Paris.,The capital of France was Parwas.,0.75,Meaning correct but structure different
What is the capital of France?,The capital of France is Paris.,The ...,0.6,Partially correct
What is the capital of France?,The capital of France is Paris.,The capital of France is Berlin.,0.17,Incorrect
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac Newton discovered gravity.,1.0,Correct
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac Newton dwascovered gravity.,0.75,Meaning correct but structure different
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac ...,0.69,Partially correct
Who discovered gravity?,Isaac Newton discovered gravity.,Galileo discovered gravity.,0.04,Incorrect
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis is the process where plants use sunlight to make food.,1.0,Correct
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosyntheswas was the process where plants use sunlight to make food.,0.78,Meaning correct but structure different
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis ...,0.58,Partially correct
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis is how animals make food.,0.14,Incorrect
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The boiling point of water is 100°C at sea level.,1.0,Correct
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The boiling point of water was 100°C at sea level.,0.75,Meaning correct but structure different
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,The ...,0.41,Partially correct
What is the boiling point of water?,The boiling point of water is 100°C at sea level.,Water boils at 90°C.,0.4,Incorrect
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by William Shakespeare.,1.0,Correct
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by William Shakespewere.,0.78,Meaning correct but structure different
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo ...,0.54,Partially correct
Who wrote 'Romeo and Juliet'?,'Romeo and Juliet' was written by William Shakespeare.,'Romeo and Juliet' was written by Charles Dickens.,0.06,Incorrect
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter is the largest planet in our solar system.,1.0,Correct
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter was the largest planet in our solar system.,0.79,Meaning correct but structure different
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Jupiter ...,0.43,Partially correct
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,Saturn is the largest planet.,0.4,Incorrect
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor converts electrical energy into mechanical energy.,1.0,Correct
